,Идентификатор Scopus,Автор,Публикаций Scopus за 2020,Высокорейтинговых публикаций за 2020,Цитирований за 2020,Публикаций Scopus за 2021,Высокорейтинговых публикаций за 2021,Цитирований за 2021,Публикаций Scopus за 2022,Высокорейтинговых публикаций за 2022,Цитирований за 2022,Публикаций Scopus за 2020-2022,Высокорейтинговых публикаций за 2020-2022,Цитирований за 2020 - 2022,Цветков П.С. был процитирован,Бабырь Н.В. был процитирован
0,10041199100,Syrkov A.G.,1,0,0,4,2,0,3,1,8,8,3,8,0,0
1,10041544900,Sultanbekov R.,3,0,3,3,2,13,2,2,48,8,4,64,2,0
2,10042352300,Kozlov A.V.,2,1,0,2,0,2,0,0,6,4,1,8,0,0
3,10046574700,Utkov V.A.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4,12767015100,Talovina I.V.,5,1,7,5,1,14,2,1,10,12,3,31,0,0
5,12789590200,Gusev V.N.,0,0,0,2,1,0,1,1,1,3,2,1,0,0
6,13402640400,Fedotov V.,1,0,0,0,0,57,1,0,8,2,0,65,0,0
7,14629427800,Taraban V.V.,0,0,0,2,0,0,1,0,1,3,0,1,0,0
8,17233818000,Lobacheva O.,3,0,0,4,2,1,0,0,7,7,2,8,0,0
9,21234538100,Zaytseva T.,0,0,0,1,0,0,0,0,2,1,0,2,0,0
10,22235883100,Shpurov I.V.,0,0,0,0,0,0,2,0,0,2,0,0,0,0
11,23008811400,Khasanov M.M.,1,0,0,1,0,0,0,0,1,2,0,1,0,0
12,23094942900,Matskevich E.E.,3,1,0,1,0,1,0,0,3,4,1,4,0,0
13,23099248900,Bazhin V.Y.,17,2,3,13,2,28,7,2,82,37,6,113,1,0
14,24470947600,Sychev Y.A.,5,1,7,2,1,16,3,1,18,10,3,41,1,0
15,24788059800,Paramonov G.P.,1,0,0,0,0,0,0,0,1,1,0,1,0,0
16,25634680400,Vorontsovac I.V.,0,0,0,1,0,0,0,0,0,1,0,0,0,0
17,25634766700,Ryzhkova S.O.,0,0,0,0,0,0,1,1,0,1,1,0,0,0
18,25654082300,Nazarychev A.N.,0,0,0,0,0,0,4,1,2,4,1,2,0,0
19,25926973700,Dmitriev A.N.,1,0,0,1,1,0,2,1,5,4,2,5,0,0
20,26421813200,Prischepa O.M.,5,0,10,7,2,12,2,2,22,14,4,44,2,0
21,35069026500,Berlinskiy I.V.,0,0,0,0,0,0,1,1,2,1,1,2,0,0
22,35070452100,Sulimova M.A.,1,0,0,0,0,1,0,0,1,1,0,2,0,0
23,35097193100,Forel M.B.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24,35191810300,Gembitskaya I.M.,4,2,1,3,1,3,2,1,5,9,4,9,0,0
25,35334793300,Loiko P.A.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
26,35364273400,Kurguzova A.,0,0,0,0,0,0,3,1,0,3,1,0,0,0
27,35389668400,Sagirova L.R.,1,0,5,0,0,5,0,0,12,1,0,22,0,0
28,36135827200,Muratbakeev E.K.,1,0,0,0,0,0,0,0,0,1,0,0,0,0
29,36151283800,Saltykova S.N.,1,0,0,3,2,4,1,1,7,5,3,11,0,0
30,36163413800,Kuskov V.B.,0,0,0,2,2,1,2,2,8,4,4,9,0,0
31,36187458600,Schekoldin R.A.,0,0,0,0,0,0,1,0,1,1,0,1,0,0
32,36463802600,Koteleva N.,1,0,0,7,2,12,2,1,38,10,3,50,0,0
33,36599669700,Vodkailo E.,1,1,0,0,0,0,0,0,0,1,1,0,0,0
34,36638664000,Ustinov D.A.,1,0,0,6,1,3,4,1,15,11,2,18,0,5
35,36671417100,Tatarenko P.V.,0,0,0,0,0,0,1,1,0,1,1,0,0,0
36,36725128800,Cheremisina O.V.,6,2,0,6,2,17,2,1,26,14,5,43,0,0
37,36760553400,Alekseev V.I.,7,1,0,3,1,4,3,2,6,13,4,10,0,0
38,36841948300,Kostin V.N.,1,0,0,1,0,1,1,1,0,3,1,1,0,0
39,36889146200,Vasilev N.I.,2,0,0,2,1,2,1,0,8,5,1,10,0,0
40,36901099500,Sidorov D.V.,2,0,2,1,1,6,0,0,4,3,1,12,0,0
41,37060535100,Dzhevaga N.,2,0,0,4,1,1,0,0,6,6,1,7,0,0
42,37125200300,Vladimir S.,1,0,0,3,2,1,3,1,6,7,3,7,0,1
43,52864071600,Migunova S.,1,0,0,1,0,0,0,0,0,2,0,0,0,0
44,54410673900,Kochneva O.E.,2,0,10,1,0,9,0,0,8,3,0,27,0,0
45,55116623400,Kirillov A.K.,0,0,0,0,0,0,1,1,0,1,1,0,0,0
46,55208910200,Tkachev I.,2,0,0,1,1,1,0,0,2,3,1,3,0,0
47,55256539500,Feshchenko R.Y.,2,1,0,0,0,4,1,0,7,3,1,11,0,0
48,55571589200,Zhukov I.A.,0,0,0,1,0,0,5,1,0,6,1,0,0,1
49,55596392500,Mardashov D.V.,4,0,5,5,2,20,2,1,71,11,3,96,1,0
50,55622846600,Pershin I.M.,0,0,0,1,0,0,0,0,3,1,0,3,0,0
51,55639182000,Kovshov S.V.,7,1,1,4,1,22,2,1,9,13,3,32,0,0
52,55671575900,Pavlovich A.A.,4,1,1,0,0,4,1,0,3,5,1,8,0,0
53,55702024500,Zyryanova O.V.,0,0,0,1,1,1,1,0,6,2,1,7,0,0
54,55750535600,Korobov G.,2,0,1,6,2,12,0,0,23,8,2,36,0,0
55,55759653800,Dashko R.E.,0,0,0,1,1,0,4,2,3,5,3,3,0,0
56,55780210400,Ankoudinov I.G.,0,0,0,1,0,0,0,0,1,1,0,1,0,0
57,55803115000,Vasilev B.,3,0,1,1,0,3,1,0,3,5,0,7,0,0
58,55804417500,Suslov A.P.,2,0,0,0,0,2,0,0,1,2,0,3,0,0
59,55809133600,Ivanik S.A.,3,1,1,0,0,4,0,0,6,3,1,11,0,0
60,55809447300,Fokina S.,1,1,0,2,2,4,0,0,1,3,3,5,0,0
61,55877333400,Zlotnikov E.,0,0,0,2,0,0,1,0,0,3,0,0,0,0
62,55889024000,Guseva N.,0,0,0,1,0,0,1,1,3,2,1,3,0,0
63,55918967400,Skublov S.G.,20,2,4,14,2,18,15,2,50,49,6,72,0,0
64,55919400000,Stepanov S.Yu.,1,1,0,0,0,2,0,0,2,1,1,4,0,0
65,55920116700,Andreev A.A.,2,0,0,2,1,1,2,0,6,6,1,7,0,0
66,55945959000,Dvoynikov M.V.,7,1,16,6,2,50,6,2,104,19,5,170,3,0
67,55960999100,Norova L.P.,0,0,0,1,0,0,0,0,0,1,0,0,0,0
68,55962931300,Martirosyan A.V.,2,0,0,2,0,4,4,2,18,8,2,22,0,2
69,55973653400,Argimbaev K.,3,1,0,4,0,4,0,0,6,7,1,10,0,0
70,56006170700,Nikolaev A.N.,1,0,0,3,1,1,0,0,3,4,1,4,0,0
71,56014344300,Keksin A.I.,2,0,3,2,1,4,2,1,6,6,2,13,0,0
72,56037603700,Movchan I.,0,0,0,3,1,3,3,1,25,6,2,28,0,0
73,56037751900,Yakovleva A.,0,0,0,3,1,3,3,1,25,6,2,28,0,0
74,56051050000,Murasheva M.V.,0,0,0,2,0,0,1,0,0,3,0,0,0,0
75,56051447900,Kostromin O.V.,1,0,0,1,0,1,1,0,2,3,0,3,0,0
76,56051482000,Panchenko I.A.,2,0,0,2,0,1,1,0,0,5,0,1,0,0
77,56051698900,Selyukin D.B.,2,0,0,1,0,1,1,0,1,4,0,2,0,0
78,56051860900,Bobrov I.V.,2,0,0,1,0,1,1,0,1,4,0,2,0,0
79,56051925900,Dorofeev V.A.,1,0,0,0,0,0,1,0,0,2,0,0,0,0
80,56051935700,Kuvanov V.A.,1,0,0,2,0,0,1,0,3,4,0,3,0,0
81,56052036700,Izotov E.A.,2,0,0,2,0,0,1,0,0,5,0,0,0,0
82,56052406000,Zarodnyuk G.V.,1,0,0,1,0,0,1,0,0,3,0,0,0,0
83,56052412400,Rudenko G.V.,3,0,0,4,0,0,2,0,0,9,0,0,0,0
84,56052424200,Pakholkova N.V.,1,0,1,1,0,0,1,0,2,3,0,3,0,0
85,56052481600,Larionova M.N.,1,0,0,1,0,0,1,0,1,3,0,1,0,0
86,56095377100,Pyagay I.N.,1,1,0,3,2,4,5,2,61,9,5,65,0,0
87,56095416600,Buslaev G.V.,3,1,3,5,2,39,2,1,76,10,4,118,4,0
88,56096631200,Smirnov Y.,1,0,0,3,1,1,3,1,24,7,2,25,2,0
89,56122509700,Sysoev A.P.,0,0,0,1,0,0,1,0,0,2,0,0,0,0
90,56146220600,Stoyanova T.V.,1,0,0,0,0,3,0,0,1,1,0,4,0,0
91,56149440000,Tananykhin D.,5,0,1,4,2,20,2,1,23,11,3,44,3,0
92,56149450900,Lenkovets O.,3,1,0,0,0,10,1,0,5,4,1,15,0,0
93,56149908500,Nikulin A.,2,0,0,2,0,4,3,1,16,7,1,20,0,0
