source;type;quartile_2022
Ca-A Cancer Journal for Clinicians;journal;Q1
Quarterly Journal of Economics;journal;Q1
Nature Reviews Molecular Cell Biology;journal;Q1
Cell;journal;Q1
New England Journal of Medicine;journal;Q1
Nature Medicine;journal;Q1
MMWR Recommendations and Reports;journal;Q1
Nature Biotechnology;journal;Q1
Nature Reviews Materials;journal;Q1
American Economic Review;journal;Q1
Nature Reviews Cancer;journal;Q1
Nature;journal;Q1
Journal of Political Economy;journal;Q1
Reviews of Modern Physics;journal;Q1
Nature Energy;journal;Q1
Nature Reviews Genetics;journal;Q1
Nature Reviews Drug Discovery;journal;Q1
Chemical Reviews;journal;Q1
Nature Reviews Immunology;journal;Q1
Morbidity and Mortality Weekly Report;journal;Q1
Nature Genetics;journal;Q1
Administrative Science Quarterly;journal;Q1
National Vital Statistics Reports;journal;Q1
Academy of Management Annals;journal;Q1
Journal of Finance;journal;Q1
Annual Review of Immunology;journal;Q1
MMWR Surveillance Summaries;journal;Q1
Chemical Society Reviews;journal;Q1
Nature Reviews Clinical Oncology;journal;Q1
Immunity;journal;Q1
Lancet, The;journal;Q1
Annual Review of Astronomy and Astrophysics;book series;Q1
Review of Economic Studies;journal;Q1
Nature Methods;journal;Q1
World Psychiatry;journal;Q1
IEEE Communications Surveys and Tutorials;journal;Q1
Nature Materials;journal;Q1
Foundations and Trends in Machine Learning;journal;Q1
Physiological Reviews;journal;Q1
MMWR supplements;journal;Q1
Science;journal;Q1
Nature Catalysis;journal;Q1
Nature Nanotechnology;journal;Q1
Econometrica;journal;Q1
Journal of Economic Literature;journal;Q1
American Economic Journal: Applied Economics;journal;Q1
Cancer Cell;journal;Q1
Energy and Environmental Science;journal;Q1
Joule;journal;Q1
Lancet Oncology, The;journal;Q1
Review of Financial Studies;journal;Q1
Nature Neuroscience;journal;Q1
Advances in Physics;journal;Q1
Annals of Oncology;journal;Q1
Nature Photonics;journal;Q1
Living Reviews in Relativity;journal;Q1
Nature Reviews Disease Primers;journal;Q1
Lancet Respiratory Medicine,The;journal;Q1
Science immunology;journal;Q1
Annual Review of Biochemistry;journal;Q1
Nature Reviews Chemistry;journal;Q1
Nature Electronics;journal;Q1
Nature Immunology;journal;Q1
Academy of Management Journal;journal;Q1
American Economic Journal: Macroeconomics;journal;Q1
Journal of Marketing;journal;Q1
Academy of Management Review;journal;Q1
Annual Review of Condensed Matter Physics;journal;Q1
Journal of Financial Economics;journal;Q1
Lancet Public Health, The;journal;Q1
Current Protocols in Bioinformatics;journal;Q1
Nature Reviews Microbiology;journal;Q1
Annual Review of Economics;journal;Q1
Cell Host and Microbe;journal;Q1
Nature Reviews Gastroenterology and Hepatology;journal;Q1
Journal of Clinical Oncology;journal;Q1
Cell Metabolism;journal;Q1
Annual Review of Public Health;journal;Q1
Astronomy and Astrophysics Review;journal;Q1
Lancet Neurology, The;journal;Q1
Nature Cancer;journal;Q1
Nature Cell Biology;journal;Q1
Molecular Cell;journal;Q1
Advanced Materials;journal;Q1
Nature Reviews Methods Primers;journal;Q1
Lancet Microbe, The;journal;Q1
Nature Reviews Physics;journal;Q1
Advances in Computers;book series;Q1
Genome Biology;journal;Q1
Annual Review of Psychology;journal;Q1
Nature Microbiology;journal;Q1
Cell Stem Cell;journal;Q1
Reviews of Geophysics;journal;Q1
Advanced Energy Materials;journal;Q1
Electrochemical Energy Reviews;journal;Q1
Molecular Cancer;journal;Q1
Annual Review of Pathology: Mechanisms of Disease;journal;Q1
Journal of Economic Perspectives;journal;Q1
Gut;journal;Q1
Progress in Materials Science;journal;Q1
Strategic Management Journal;journal;Q1
Annual Review of Neuroscience;journal;Q1
Review of Economics and Statistics;journal;Q1
Annual Review of Political Science;book series;Q1
Journal of the American College of Cardiology;journal;Q1
Advances in Optics and Photonics;journal;Q1
Nucleic Acids Research;journal;Q1
Lancet Diabetes and Endocrinology,The;journal;Q1
American Economic Journal: Economic Policy;journal;Q1
Lancet Psychiatry,The;journal;Q1
Lancet Infectious Diseases, The;journal;Q1
Nature Chemistry;journal;Q1
Annual Review of Plant Biology;journal;Q1
Nature Reviews Endocrinology;journal;Q1
JAMA Oncology;journal;Q1
Cell Research;journal;Q1
Nature Physics;journal;Q1
ACS Energy Letters;journal;Q1
Circulation;journal;Q1
Neuron;journal;Q1
American Political Science Review;journal;Q1
IEEE Journal on Selected Areas in Communications;journal;Q1
Gastroenterology;journal;Q1
Psychological Bulletin;journal;Q1
Marketing Science;journal;Q1
Clinical Microbiology Reviews;journal;Q1
Nature Structural and Molecular Biology;journal;Q1
Journal of Marketing Research;journal;Q1
American Sociological Review;journal;Q1
Journal of Hepatology;journal;Q1
JAMA Cardiology;journal;Q1
Lancet Global Health,The;journal;Q1
Annual Review of Genetics;journal;Q1
Cancer Discovery;journal;Q1
Living Reviews in Solar Physics;journal;Q1
Journal of Management;journal;Q1
Endocrine Reviews;journal;Q1
Lancet Regional Health - Europe, The;journal;Q1
Manufacturing and Service Operations Management;journal;Q1
Cell Systems;journal;Q1
Nature Metabolism;journal;Q1
Annual Review of Organizational Psychology and Organizational Behavior;journal;Q1
Nature Reviews Neuroscience;journal;Q1
European Urology;journal;Q1
Nature Reviews Cardiology;journal;Q1
Annual Review of Biophysics;journal;Q1
Nature Climate Change;journal;Q1
Materials Science and Engineering: R: Reports;journal;Q1
Chem;journal;Q1
Annals of Mathematics;journal;Q1
Annual Review of Clinical Psychology;journal;Q1
Nature Protocols;journal;Q1
JAMA Neurology;journal;Q1
JAMA - Journal of the American Medical Association;journal;Q1
Foundations and Trends in Signal Processing;journal;Q1
Signal Transduction and Targeted Therapy;journal;Q1
Annual Review of Cell and Developmental Biology;journal;Q1
Nature Biomedical Engineering;journal;Q1
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques;journal;Q1
JAMA Psychiatry;journal;Q1
Nature Sustainability;journal;Q1
IEEE Wireless Communications;journal;Q1
Organization Science;journal;Q1
Nature Reviews Neurology;journal;Q1
Nature Reviews Nephrology;journal;Q1
Annals of the Rheumatic Diseases;journal;Q1
Science Robotics;journal;Q1
Lancet Digital Health, The;journal;Q1
Annual Review of Physiology;journal;Q1
Accounts of Chemical Research;journal;Q1
Science Translational Medicine;journal;Q1
Acta Numerica;journal;Q1
Psychological Science in the Public Interest;journal;Q1
Physical Review X;journal;Q1
EnergyChem;journal;Q1
Journal of the Academy of Marketing Science;journal;Q1
American Journal of Respiratory and Critical Care Medicine;journal;Q1
Annual Review of Fluid Mechanics;book series;Q1
Journal of Experimental Medicine;journal;Q1
Intensive Care Medicine;journal;Q1
Molecular Systems Biology;journal;Q1
Nature Machine Intelligence;journal;Q1
Materials Today;journal;Q1
Nature Reviews Earth and Environment;journal;Q1
Lancet Gastroenterology and Hepatology, The;journal;Q1
InfoMat;journal;Q1
Journal of Business and Economic Statistics;journal;Q1
Journal of Applied Psychology;journal;Q1
Nature Geoscience;journal;Q1
Journal of Accounting and Economics;journal;Q1
Journal of the European Economic Association;journal;Q1
NCHS data brief;journal;Q1
Annual Review of Earth and Planetary Sciences;book series;Q1
Journal of Hematology and Oncology;journal;Q1
Journal of Consumer Research;journal;Q1
Diabetes Care;journal;Q1
Trends in Cell Biology;journal;Q1
Annual Review of Nuclear and Particle Science;book series;Q1
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition;conference and proceedings;-
Journal of the American Chemical Society;journal;Q1
Journal of Monetary Economics;journal;Q1
Journal of Thoracic Oncology;journal;Q1
Journal of the American Mathematical Society;journal;Q1
Cell Reports Medicine;journal;Q1
Review of Educational Research;journal;Q1
Fungal Diversity;journal;Q1
Genes and Development;journal;Q1
IEEE Transactions on Evolutionary Computation;journal;Q1
Journal of Econometrics;journal;Q1
Personality and Social Psychology Review;journal;Q1
Physics Reports;journal;Q1
Review of Finance;journal;Q1
Progress in Energy and Combustion Science;journal;Q1
Progress in Polymer Science;journal;Q1
IEEE Transactions on Wireless Communications;journal;Q1
Proceedings of the IEEE International Conference on Computer Vision;conference and proceedings;-
Annual Review of Entomology;journal;Q1
Advances in Methods and Practices in Psychological Science;journal;Q1
Nature Human Behaviour;journal;Q1
Trends in Cognitive Sciences;journal;Q1
European Journal of Heart Failure;journal;Q1
Angewandte Chemie - International Edition;journal;Q1
Advanced Functional Materials;journal;Q1
Proceedings of the IEEE;journal;Q1
Perspectives on Psychological Science;journal;Q1
Nature Chemical Biology;journal;Q1
EMBO Journal;journal;Q1
Advances in Applied Energy;journal;Q1
Review of Corporate Finance Studies;journal;Q1
Annual Review of Microbiology;journal;Q1
Annual Review of Ecology, Evolution, and Systematics;book series;Q1
Journal of the National Cancer Institute;journal;Q1
Light: Science and Applications;journal;Q1
Developmental Cell;journal;Q1
Journal of Financial Intermediation;journal;Q1
Nature Ecology and Evolution;journal;Q1
IEEE Transactions on Cybernetics;journal;Q1
JACC: Heart Failure;journal;Q1
Pharmacological Reviews;journal;Q1
Foundations and Trends in Computer Graphics and Vision;journal;Q1
Management Science;journal;Q1
Cement and Concrete Research;journal;Q1
IEEE Communications Magazine;journal;Q1
Nano-Micro Letters;journal;Q1
Annals of Statistics;journal;Q1
Molecular Plant;journal;Q1
Nature Plants;journal;Q1
Studies in Mycology;journal;Q1
Annual Review of Genomics and Human Genetics;journal;Q1
Energy Storage Materials;journal;Q1
Analytic Methods in Accident Research;journal;Q1
Journal of Accounting Research;journal;Q1
Molecular Neurodegeneration;journal;Q1
American Economic Journal: Microeconomics;journal;Q1
Trends in Ecology and Evolution;journal;Q1
IEEE Transactions on Smart Grid;journal;Q1
Journal of Clinical Investigation;journal;Q1
Nature Communications;journal;Q1
JAMA Pediatrics;journal;Q1
Journal of Public Economics;journal;Q1
Annual Review of Marine Science;journal;Q1
Journal of International Business Studies;journal;Q1
The Innovation;journal;Q1
Handbook of Econometrics;book series;Q1
Nano Energy;journal;Q1
Journal of Business Venturing;journal;Q1
Journal of Service Research;journal;Q1
Evidence-Based Mental Health;journal;Q1
American Journal of Political Science;journal;Q1
American Journal of Human Genetics;journal;Q1
Progress in Retinal and Eye Research;journal;Q1
Blood;journal;Q1
JAMA Internal Medicine;journal;Q1
Genome Research;journal;Q1
International Journal of Information Management;journal;Q1
Innovation Policy and the Economy;book series;Q1
Acta Neuropathologica;journal;Q1
Matter;journal;Q1
Applied Catalysis B: Environmental;journal;Q1
Cell Genomics;journal;Q1
Progress in Particle and Nuclear Physics;journal;Q1
Synthesis Lectures on Communication Networks;book series;Q1
Genome Medicine;journal;Q1
Academy of Management Perspectives;journal;Q1
Neuro-Oncology;journal;Q1
Foundations and Trends in Systems and Control;journal;Q1
Political Analysis;journal;Q1
Inventiones Mathematicae;journal;Q1
International Organization;journal;Q1
Lancet Haematology,The;journal;Q1
Accounts of Materials Research;journal;Q1
Advanced Photonics;journal;Q1
Annual Review of Environment and Resources;book series;Q1
Trends in Neurosciences;journal;Q1
British Journal of Sports Medicine;journal;Q1
Information Fusion;journal;Q1
Psychotherapy and Psychosomatics;journal;Q1
ACS Nano;journal;Q1
Journal of Labor Economics;journal;Q1
AI Open;journal;Q1
European Respiratory Journal;journal;Q1
Trends in Immunology;journal;Q1
Annual Review of Virology;journal;Q1
Organizational Research Methods;journal;Q1
Clinical Cancer Research;journal;Q1
Annual Review of Cancer Biology;book series;Q1
Science advances;journal;Q1
Lancet Rheumatology, The;journal;Q1
Cell Reports;journal;Q1
Carbon Energy;journal;Q1
eClinicalMedicine;journal;Q1
Clinical Psychology Review;journal;Q1
Organization Studies;journal;Q1
Review of Asset Pricing Studies;journal;Q1
Circulation Research;journal;Q1
Journal of Management Studies;journal;Q1
IEEE Vehicular Technology Magazine;journal;Q1
Reports on Progress in Physics;journal;Q1
ACM Computing Surveys;journal;Q1
Journal of the American Society of Nephrology : JASN;journal;Q1
IEEE Transactions on Pattern Analysis and Machine Intelligence;journal;Q1
Accounting Review;journal;Q1
PhotoniX;journal;Q1
Brain;journal;Q1
JACC: Cardiovascular Imaging;journal;Q1
Trends in Chemistry;journal;Q1
Ecology Letters;journal;Q1
Annals of PDE;journal;Q1
PRX Quantum;journal;Q1
Drug Resistance Updates;journal;Q1
Biological Reviews;journal;Q1
Mathematical Programming Computation;journal;Q1
Energy and Environmental Materials;journal;Q1
Nature Aging;journal;Q1
Economic Journal;journal;Q1
IEEE Transactions on Automatic Control;journal;Q1
Leadership Quarterly;journal;Q1
Entrepreneurship Theory and Practice;journal;Q1
Strategic Organization;journal;Q1
Radiocarbon;journal;Q1
IEEE Network;journal;Q1
Trends in Biochemical Sciences;journal;Q1
eLife;journal;Q1
Psychological Methods;journal;Q1
Earth System Science Data;journal;Q1
Annual Review of Medicine;journal;Q1
Annual Review of Physical Chemistry;journal;Q1
Strategy Science;journal;Q1
American Journal of Psychiatry;journal;Q1
PLoS Medicine;journal;Q1
Review of Accounting Studies;journal;Q1
Annual Review of Sociology;book series;Q1
ACS Catalysis;journal;Q1
Cell Discovery;journal;Q1
Lancet Child and Adolescent Health, The;journal;Q1
ACS Central Science;journal;Q1
California Management Review;journal;Q1
Hepatology;journal;Q1
Eurosurveillance;journal;Q1
Applied Physics Reviews;journal;Q1
Coordination Chemistry Reviews;journal;Q1
JAMA network open;journal;Q1
